Column,AmbitionBox.csv,campaignindia.csv,companiesMarketCap_dataset.jsonl,company_social_urls.csv,DDD-cbinsight.com.csv,DDD-teamblind.com.csv,disfold.com.json,ft.com.json,hitHorizons_dataset.jsonl,MalPatSaj-forbes.com.xls,MalPatSaj-wikipedia.org.xls,output_globaldata.json,output_govuk_bigsize.json,valueToday_dataset.jsonl,wissel-activity-ariregister.rik.ee.csv,wissel-aziende-ariregister.rik.ee.csv,wissel-aziende-info-clipper.com.csv,wissel-partners-ariregister.rik.ee.csv,wissel-rappresentanti-ariregister.rik.ee.csv
2010 rank,,object,object,,,,,,,,,,,,,,,,
address,,,,,,,,,,,,,,,,object,,,
address,,,,,,,,,,,,object,,,,,,,
address name,,,,,,,,,,,,,,,,,object,,
area of activity,,,,,,,,,,,,,,,object,,,,
brand name,,object,object,,,,,,,,,,,,,,,,
capital,,,,,,,,,,,,,,,,object,,,
category,,object,object,,,,,,,,,,,,,,,,
ceo,,,,,,,object,,,,,,,,,,,,
city,,,,,,,,,,,,,,,,,object,,
city,,,,,object,,,,,,,,,,,,,,
code,,,,,,,,,,,,,,,,float64,,object,object
company,,,,object,,,,,,,,,,,,,,,
company_creation_date,,,,,,,,,,,,,object,object,,,,,
company_number,,,,,,,,,,,,,object,object,,,,,
company_status,,,,,,,,,,,,,object,object,,,,,
company_type,,,,,,,,,,,,,object,object,,,,,
contribution,,,,,,,,,,,,,,,,,,object,
country,,,,,object,,,object,object,object,object,,,,,,,,
country,,,,,,,,,,,,,,,,,object,,
datejoined,,,,,object,,,,,,,,,,,,,,
deletion date,,,,,,,,,,,,,,,,object,,,
employees,,,,,,,object,object,object,object,object,,,,,,,,
emtak code,,,,,,,,,,,,,,,object,,,,
facebook,,,,object,,,,,,,,,,,,,,,
foundation year,object,,,,,,,,,,,,,,,,,,
founded,,,,,object,object,,object,object,object,object,,,,,,,,
headquarter,object,,,,,,,,,,,,,,,,,,
headquarters,,,,,,,object,,,,,object,,,,,,,
id,,,,,,,,,,,,,,,,int64,,,
id azienda,,,,,,,,,,,,,,,int64,,,int64,int64
index,,,,,,,,,,,,,,,,,int64,,
industry,,,,,object,object,,object,object,object,object,object,,,,,,,
industry,object,,,,,,,,,,,,,,,,,,
instagram,,,,object,,,,,,,,,,,,,,,
investors,,,,,object,,,,,,,,,,,,,,
legal form,,,,,,,,,,,,,,,,object,,,
link,,,,,,,object,object,object,object,object,,,,,,,,
location type,,,,,,,,,,,,,,,,,object,,
locations,,,,,,object,,,,,,,,,,,,,
main market,,object,object,,,,,,,,,,,,,,,,
market_cap,,,,,,,object,,,,,object,,,,,,,
nace code,,,,,,,,,,,,,,,float64,,,,
name,,,,,object,object,object,object,object,object,object,object,object,object,,,,,
name,object,,,,,,,,,,,,,,,object,object,object,object
nature_of_business,,,,,,,,,,,,,object,object,,,,,
number_of_employees,,,,,,,,,,,,object,,,,,,,
ownership,object,,,,,,,,,,,,,,,,,,
participation,,,,,,,,,,,,,,,,,,object,
pinterest,,,,object,,,,,,,,,,,,,,,
postalcode,,,,,,,,,,,,,,,,,object,,
rank,,int64,int64,,,,,,,,,,,,,,,,
registered_office_address,,,,,,,,,,,,,object,object,,,,,
registration date,,,,,,,,,,,,,,,,object,,,
revenue,,,,,,,,object,object,object,object,object,,,,,,,
role,,,,,,,,,,,,,,,,,,,object
size,,,,,,object,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,object,,,,
stage,,,,,object,,,,,,,,,,,,,,
start date,,,,,,,,,,,,,,,,,,,object
state,,,,,,,,,,,,,,,,,object,,
status,,,,,,,,,,,,,,,,object,,,
telephone,,,,,,,,,,,,object,,,,,,,
totalraised,,,,,object,,,,,,,,,,,,,,
trade name,,,,,,,,,,,,,,,,,object,,
twitter,,,,object,,,,,,,,,,,,,,,
unnamed: 0,,,,,int64,int64,,,,,,,,,,,int64,,
url,,,,,,,,,,,,,,,,object,object,,
valuation,,,,,object,,,,,,,,,,,,,,
website,,,,,,object,,,,,,object,,,,,,,
